track_id,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre_Blues,genre_Classical,genre_Electronic,genre_Folk/Country,genre_Hip-Hop,genre_Jazz,genre_Kids,genre_Latin,genre_Metal,genre_Other,genre_Pop,genre_Reggae,genre_Rock,genre_Soul/R&B,genre_World,ts_0,ts_1,ts_3,ts_4,ts_5
3yvLFDVDRCtAVJohe0qzMW,0.2,0.024368686507061373,0,0.324,0.0768,0.5443464106690342,1,0.04103626943005182,0.946,0.288,0.323,0.242,0.41796919941488747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6VLlX6KCXdEeZIsCTZhkMZ,0.19,0.03820540947187432,0,0.18,0.336,0.6729186319664094,1,0.044041450777202076,0.606,0.988,0.31,0.0342,0.4196004470522492,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4gHVJrW7FY160u1XA5ddJ9,0.2,0.023587176204510153,0,0.239,0.229,0.5623624290179975,1,0.04704663212435234,0.845,0.717,0.633,0.519,0.7152835987706063,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7ApScLqJl4tSg9oJTv4KOp,0.2,0.06433588331380989,0,0.151,0.296,0.5959898636775615,1,0.038652849740932645,0.824,0.287,0.0767,0.176,0.30731965879394507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7KAoHwoMUCdMbQL6C8IFSC,0.2,0.03479658869702776,0,0.546,0.448,0.7238961951796976,1,0.035025906735751296,0.272,0.0,0.0913,0.695,0.3459518761402297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
569dvIIgoXk5Q4jwONOzfm,0.21,0.03849315343130375,0,0.74,0.568,0.718698555389083,1,0.029637305699481867,0.633,8.04e-05,0.0745,0.855,0.4590503426852719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4rA9aBhdi59gShgIV7g852,0.19,0.046168871526236346,0,0.415,0.482,0.7694541553372916,1,0.037512953367875655,0.309,1.15e-06,0.274,0.346,0.3446082540308663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6RAcEvMkqpXg9J4GWkqtyr,0.2,0.01081970750167787,0,0.617,0.222,0.6046649279544235,1,0.044766839378238346,0.989,0.965,0.112,0.3,0.5719310356162582,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
48EtWIYRK3R9Fz2S5tBFU1,0.2,0.03814430922833256,0,0.831,0.178,0.558274605552781,1,0.05637305699481865,0.962,0.0,0.105,0.786,0.4962074519665368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2p76Mu5ttdc59RZtkkAwXe,0.19,0.015430293691686262,0,0.37,0.0798,0.6081238555019143,0,0.030259067357512954,0.899,0.959,0.144,0.182,0.2184474795785875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7CNa7a37QWYyfyHoSu7NX9,0.21,0.01645620496840449,0,0.189,0.293,0.6451177330151858,1,0.038134715025906735,0.871,0.895,0.266,0.14,0.3424880429959075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38sDn4Exgc4MBFuC90zKMh,0.19,0.025735804456308076,0,0.424,0.321,0.7060836431570575,1,0.06352331606217616,0.501,0.601,0.106,0.213,0.4440239633154184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7wT6m9avYLg0kMk6LzTlvi,0.19,0.011023056749715264,0,0.703,0.169,0.5655069086066256,1,0.12331606217616581,0.98,0.0351,0.159,0.195,0.392801965715037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1bPscEK5pp7oTh6tErzcGY,0.19,0.01831976239642793,0,0.158,0.0296,0.545881656585835,0,0.036269430051813475,0.812,0.925,0.152,0.0298,0.3146500008217872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5lBAtbto3BzK5XXHILv5hW,0.2,0.0239589329988095,0,0.292,0.303,0.6258439228307715,1,0.06103626943005182,0.969,0.617,0.168,0.193,0.7438571405091793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5O3XZbXoPs3KD87OH3sO31,0.49,0.04050678833252662,0,0.387,0.44,0.7138708543736012,1,0.09036269430051813,0.727,0.0,0.138,0.582,0.3947126210081685,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
58DITAWlxgR0FQSbKGqXUi,0.37,0.0066595446695288316,0,0.257,0.0613,0.5094056933577492,1,0.04072538860103627,0.946,0.911,0.0873,0.107,0.3303748993310652,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1y9nJy8hteFJTrnzZWAtTf,0.39,0.057949762234130404,0,0.295,0.0835,0.5541867820875644,1,0.03730569948186528,0.988,0.925,0.11,0.103,0.5468583074470358,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1Vm5FUNmEFwIEtrAak5RkS,0.32,0.006532570725918628,0,0.285,0.571,0.7826979634870428,1,0.044248704663212436,0.19,0.275,0.142,0.147,0.6737874529526814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4JloN5dBiVokxofXYFcmGR,0.47,0.01645620496840449,0,0.203,0.183,0.602352810609844,1,0.03606217616580311,0.812,0.873,0.27,0.182,0.36815245796558355,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2QNL3On5CNvRhJ1YWoTxFk,0.19,0.028552525683582842,0,0.645,0.0119,0.36398276085307874,0,0.05253886010362695,0.993,0.958,0.102,0.277,0.5346547671876798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6q5YfHBnlsZZ9W7j75BoHQ,0.19,0.00941955723326641,0,0.248,0.0106,0.5288829698684867,1,0.04259067357512953,0.996,0.974,0.0734,0.292,0.2797076081061091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5iYOstCnfOC2eXyLesDQ7d,0.19,0.0171435827082492,0,0.244,0.175,0.6030187004050829,0,0.04217616580310881,0.953,0.0,0.108,0.148,0.5169945597685847,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6P9D97tnb4JW91XP83wOFE,0.19,0.017617109595697778,0,0.457,0.226,0.7014964023454118,1,0.05658031088082902,0.891,0.0,0.324,0.376,0.38292408329635286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5QfDNDMjIfM0ogPx5IpmEc,0.19,0.045420393542849886,0,0.45,0.627,0.7801823798161405,0,0.18860103626943006,0.355,0.0,0.056,0.611,0.4120687671548083,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2Hq7sbSnMMlP3ebTFA3sLH,0.19,0.04017188262261339,0,0.364,0.108,0.5884616096036106,1,0.04994818652849741,0.976,0.955,0.106,0.0622,0.3370108311555972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3kTFElpN5xHxwLRqDsd2Po,0.19,0.0413648648777661,0,0.498,0.479,0.7820505706305606,1,0.02601036269430052,0.629,0.000884,0.229,0.281,0.44825205857699324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
