track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5ivF4eQBqJiVL5IAE9jRyl,11,0.69,0.04585668746939021,0,0.483,0.303,4,0.730129663540684,1,0.0444559585492228,0.694,0.0,0.115,0.139,0.5481567312591423
4ptDJbJl35d7gQfeNteBwp,12,0.52,0.03794172373333944,0,0.489,0.314,7,0.7451676747498289,0,0.034300518134715026,0.749,0.0,0.113,0.607,0.5104695692191378
0X9MxHR1rTkEHDjp95F2OO,13,0.62,0.04743822908581625,0,0.691,0.234,3,0.7970330910234356,1,0.029533678756476688,0.777,0.0,0.12,0.209,0.35790066236050155
4LbWtBkN82ZRhz9jqzgrb3,14,0.56,0.035921787869501336,0,0.755,0.78,2,0.8036364981595546,1,0.0338860103626943,0.124,2.83e-05,0.121,0.387,0.4930887694558125
1KHdq8NK9QxnGjdXb55NiG,15,0.58,0.04677720082599892,0,0.489,0.561,4,0.769435658398535,1,0.02839378238341969,0.2,4.56e-05,0.179,0.238,0.3429194812879049
6xKeQgzfjixSUld14qUezm,16,0.56,0.02477423937356975,0,0.706,0.112,2,0.5814142759373323,1,0.04051813471502591,0.827,4.03e-06,0.125,0.414,0.4526157487303387
4Yo0igmcoNyat1secaH0OD,17,0.54,0.03240756917454526,0,0.795,0.0841,10,0.5815622514473854,0,0.0477720207253886,0.742,1.17e-05,0.0853,0.609,0.3772126620975297
2qLMf6TuEC3ruGJg4SMMN6,18,0.68,0.036204376495881936,0,0.625,0.414,0,0.7552485063721954,1,0.03823834196891192,0.294,0.0,0.151,0.669,0.5345232812320233
6CgNoAbFJ4Q4Id4EjtbXlC,19,0.67,0.049679462394232134,0,0.717,0.32,3,0.7609270665704825,1,0.02932642487046632,0.83,0.0,0.107,0.322,0.4435432177900498
3S0OXQeoh0w6AY8WQVckRW,20,0.75,0.04638768677342025,0,0.703,0.444,11,0.7435769380167583,1,0.04321243523316062,0.559,0.0,0.0973,0.712,0.6202849958088852
210JCw2LbYD4YIs8GiZ9iP,21,0.63,0.03325648068325347,0,0.678,0.351,0,0.7560993655550006,1,0.027564766839378238,0.747,0.0,0.355,0.569,0.3699357362391729
5TvE3pk05pyFIGdSY9j4DJ,22,0.7,0.04380123708899346,0,0.407,0.147,2,0.7529918798438858,1,0.03678756476683938,0.857,2.89e-06,0.0913,0.0765,0.5805269299672928
0BUuuEvNa5T4lMaewyiudB,23,0.0,0.04131636655945483,0,0.572,0.454,3,0.7259123615041709,1,0.02673575129533679,0.477,1.37e-05,0.0974,0.515,0.5759988823693768
3Hn3LfhrQOaKihdCibJsTs,24,0.0,0.0441575278841463,0,0.796,0.667,5,0.8268131624216191,0,0.04062176165803109,0.381,0.0,0.221,0.754,0.4026264319642358
6D33wCKzWtNEgOovgeVJ7r,25,0.01,0.05772941948085796,0,0.755,0.454,9,0.7384347890424134,0,0.036476683937823835,0.757,0.0,0.236,0.33,0.4933188698782111
5IfCZDRXZrqZSm8AwE44PG,26,0.0,0.025158025278316384,0,0.62,0.309,5,0.7458335645450678,1,0.051295336787564774,0.788,0.0,0.146,0.664,0.5972872803773647
0dzKBptH2P5j5a0MifBMwM,27,0.0,0.05225082795603456,0,0.633,0.429,4,0.7906886410299095,0,0.0394818652849741,0.0444,0.0,0.132,0.52,0.5908362506779744
5QAMZTM5cmLg3fHX9ZbTZi,28,0.0,0.025158025278316384,0,0.62,0.309,5,0.7458335645450678,1,0.051295336787564774,0.788,0.0,0.146,0.664,0.5972872803773647
2qESE1ZeWly7I3YjyTXmXh,29,0.0,0.025158025278316384,0,0.62,0.309,5,0.7458335645450678,1,0.051295336787564774,0.788,0.0,0.146,0.664,0.5972872803773647
3EQV1ZHtHvq9OnVRYIdbg3,30,0.0,0.025158025278316384,0,0.62,0.309,5,0.7458335645450678,1,0.051295336787564774,0.788,0.0,0.146,0.664,0.5972872803773647
3ax0rfGb7exLtl02LL08U9,31,0.0,0.025158025278316384,0,0.62,0.309,5,0.7458335645450678,1,0.051295336787564774,0.788,0.0,0.146,0.664,0.5972872803773647
1m5LC29RE52Bxy7hxvpOlL,32,0.0,0.044715067606464785,0,0.593,0.455,6,0.7646449512605663,1,0.04020725388601037,0.366,0.0,0.0914,0.564,0.8300831648669527
3H36x7buZdQD4687VmFrwY,33,0.0,0.049559553166281446,0,0.296,0.206,0,0.6979264931653811,1,0.04269430051813472,0.782,0.000225,0.0959,0.202,0.6796180332988182
0xbMRcMFqxJq1Wa7tvWPtn,34,0.0,0.049559553166281446,0,0.296,0.206,0,0.6979264931653811,1,0.04269430051813472,0.782,0.000225,0.0959,0.202,0.6796180332988182
